"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"1",1,FALSE,0,0,0.05,10,500,0,0.849236575341784,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,FALSE,0,0.02,0.05,10,500,0,0.857776707466692,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,FALSE,0,0.04,0.05,10,500,0,0.862183208607603,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,FALSE,0,0.06,0.05,10,500,0,0.854996714934241,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,FALSE,0,0.08,0.05,10,539.48,47.8476471034191,0.866572134669405,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,FALSE,0,0.1,0.05,10,945.08,192.548849790269,0.872824616499711,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,FALSE,0,0.12,0.05,9,3235.48888888889,544.515859375199,0.856867483379837,0.00031085013049031,NA,0.039138791937257,NA,7,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,NA,NA
"8",8,FALSE,0,0.14,0.05,5,1561.32,563.699008336896,0.838532990915701,0.0868522338830585,0.00303511323445139,0.39562740384965,4.57483429430674,28.6,2,"DOWN",9.50263121456368,0.786355098621073,0.0590098567318875,3.38792121818999e-23,0.0871402340745575,0.00975048148156453,3.93644309365451e-14,NA,NA,NA,0.004,13.9707864918376,-8.15842938817473
"9",9,FALSE,0,0.16,0.05,6,1584.26666666667,369.921389847447,0.83548319262142,0.186870164917541,0.00494903895672517,0.430494554900709,2.30573333406859,38.3333333333333,2,"DOWN",11.0030298857481,0.636079097010784,0.0349542064124865,1.03375105830251e-40,0.0867598099506381,0.0049041880080376,2.10507840854144e-39,NA,NA,NA,0.00221075902726603,10.1690402107134,-8.43376720221255
"10",10,FALSE,0,0.18,0.05,18,1353.76666666667,611.349613078936,0.84723506128519,0.273831037259148,0.00506454448228987,0.46613738072998,1.70278464494548,72.8888888888889,2,"DOWN",24.5833250249238,0.69515772012264,0.0102840445444627,2.83117575610454e-297,0.0453069533939163,0.0010962698453102,1.56275281103301e-184,NA,NA,NA,0.00187617260787992,19.7171165441525,-9.2600085427786
