"","ID","starting","assoc","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"1",1,0.001,FALSE,0,0,0.05,NA,NA,NA,NA,5.98802395209581e-08,0,0,54.59
"2",2,0.001,FALSE,0,0.02,0.05,NA,NA,NA,NA,1.89620758483034e-07,0,0,66.936
"3",3,0.001,FALSE,0,0.04,0.05,NA,NA,NA,NA,5.98802395209581e-07,0,0,74.178
"4",4,0.001,FALSE,0,0.06,0.05,NA,NA,NA,NA,1.22754491017964e-06,0,0,84.238
"5",5,0.001,FALSE,0,0.08,0.05,NA,NA,NA,NA,3.06387225548902e-06,0,0,88.378
"6",6,0.001,FALSE,0,0.1,0.05,NA,NA,NA,NA,7.0059880239521e-06,0,0,96.292
"7",7,0.001,FALSE,0,0.12,0.05,NA,NA,NA,NA,1.04690618762475e-05,0,0,98.016
"8",8,0.001,FALSE,0,0.14,0.05,NA,NA,NA,NA,1.96806387225549e-05,0,0,98.116
"9",9,0.001,FALSE,0,0.16,0.05,NA,NA,NA,NA,3.46806387225549e-05,0,0,99.962
"10",10,0.001,FALSE,0,0.18,0.05,0.010125,4.62910049886281e-05,0.470442632498544,0.040167752414857,5.71092451834476e-05,8,0.08,99.084
"11",11,0.001,FALSE,0,0.2,0.05,0.0101451612903226,8.88395920650226e-05,0.503237572715734,0.0342257417993255,8.30112083621092e-05,31,0.31,95.446
"12",12,0.001,FALSE,0,0.22,0.05,0.0101584615384615,8.6408021351297e-05,0.505394039689037,0.0380035033119319,0.000109174634112238,65,0.65,85.744
"13",13,0.001,FALSE,0,0.24,0.05,0.0101655555555556,8.76165177479235e-05,0.510218906149061,0.0420511083298821,0.000140496456631991,90,0.9,74.558
"14",14,0.001,FALSE,0,0.26,0.05,0.0101591836734694,0.0001013687101664,0.526943029346319,0.0314755691602397,0.000162520008641793,98,0.98,65.064
"15",15,0.001,FALSE,0,0.28,0.05,0.010171,0.000104731498932685,0.52693489373938,0.0360218475893587,0.00018626976942442,100,1,56.622
"16",16,0.001,FALSE,0,0.3,0.05,0.010175,9.88571053224163e-05,0.536837321158767,0.0438529442935584,0.000201820521170831,100,1,52.378
"17",17,0.001,FALSE,0,0.32,0.05,0.01018,9.84731927834664e-05,0.543480667108225,0.0376707620637849,0.000226819858655931,100,1,46.382
"18",18,0.001,FALSE,0,0.34,0.05,0.010184,9.71513450158251e-05,0.544622067192881,0.0344546161756269,0.000245863606937226,100,1,42.626
"19",19,0.001,FALSE,0,0.36,0.05,0.010181,9.71253485622233e-05,0.547531890212292,0.037758485315651,0.000266698962464619,100,1,39.074
"20",20,0.001,FALSE,0,0.38,0.05,0.010197,0.000129064231131541,0.552935159813925,0.0349921100062945,0.000281464911116958,100,1,37.058
"21",21,0.001,FALSE,0,0.4,0.05,0.010194,0.000121289369324402,0.552437597346999,0.0390784286096525,0.000295054086311624,100,1,35.306
"22",22,0.001,FALSE,0,0.42,0.05,0.010198,0.000122251603447376,0.551471725091238,0.033411743675594,0.000316473798601137,100,1,32.862
"23",23,0.001,FALSE,0,0.44,0.05,0.010208,0.00014047538337137,0.55684603473007,0.0346707687640006,0.000344952118744788,100,1,30.508
"24",24,0.001,FALSE,0,0.46,0.05,0.010223,0.000144148492461031,0.563773593149725,0.0372064883363467,0.000338249143829459,100,1,30.97
"25",25,0.001,FALSE,0,0.48,0.05,0.010222,0.00013377200564748,0.564255574816361,0.034200349053104,0.000367243016819284,100,1,28.362
"26",26,0.001,FALSE,0,0.5,0.05,0.010186,0.000112833120719553,0.562291476839196,0.034391683327347,0.000399621501899866,100,1,25.976
"27",27,0.001,FALSE,0,0.52,0.05,0.010191,0.00010833449882823,0.564251023764274,0.0371187317733426,0.00040180423491876,100,1,25.872
"28",28,0.001,FALSE,0,0.54,0.05,0.010209,0.000122346585030751,0.561905562054269,0.035462876815024,0.000423007253699603,100,1,24.722
"29",29,0.001,FALSE,0,0.56,0.05,0.010192,0.000107946863097198,0.567627191311976,0.0360752872916514,0.000434895990309708,100,1,23.888
"30",30,0.001,FALSE,0,0.58,0.05,0.010238,0.000161295262224783,0.563947745171017,0.036950851677177,0.000450095084262373,100,1,23.208
"31",31,0.001,FALSE,0,0.6,0.05,0.010206,0.000126187290656517,0.565741701638137,0.0354360751799184,0.000463625012680245,100,1,22.446
"32",32,0.001,FALSE,0,0.62,0.05,0.010215,0.00010286305498481,0.567941074746952,0.0365077630216704,0.000492074316222325,100,1,21.17
"33",33,0.001,FALSE,0,0.64,0.05,0.010229,0.000163481688963207,0.569870563603296,0.032555634747587,0.000489465189349526,100,1,21.232
"34",34,0.001,FALSE,0,0.66,0.05,0.01021,0.000134464895347478,0.564462018507401,0.0330895833300501,0.000505456273197912,100,1,20.6
"35",35,0.001,FALSE,0,0.68,0.05,0.010227,0.000127013082917955,0.572366404130789,0.0316133151350173,0.000526759360563195,100,1,19.7
"36",36,0.001,FALSE,0,0.7,0.05,0.010236,0.000143209953945565,0.569771636289167,0.030272764099351,0.000543899633477627,100,1,19.194
"37",37,0.001,FALSE,0,0.72,0.05,0.010224,0.000158986690250372,0.568241340344407,0.0329349301865274,0.000541124905343832,100,1,19.21
"38",38,0.001,FALSE,0,0.74,0.05,0.010223,0.000139156913104044,0.570184836491527,0.0344767476959234,0.000565802859919885,100,1,18.366
"39",39,0.001,FALSE,0,0.76,0.05,0.010244,0.000145171441663805,0.570808766825639,0.0328667213635414,0.0005808728493134,100,1,17.916
"40",40,0.001,FALSE,0,0.78,0.05,0.010244,0.000146556432403317,0.574270934789784,0.0317299267591874,0.000588009825252105,100,1,17.702
"41",41,0.001,FALSE,0,0.8,0.05,0.01021,0.000125930877304122,0.57352424718419,0.0332986805769531,0.000598675056198222,100,1,17.366
"42",42,0.001,FALSE,0,0.82,0.05,0.010237,0.000159958959382926,0.580302155698999,0.0330644533414034,0.000598805310265749,100,1,17.384
"43",43,0.001,FALSE,0,0.84,0.05,0.010225,0.000150671895859912,0.57237125574161,0.0322507769020972,0.000633052515117695,100,1,16.438
"44",44,0.001,FALSE,0,0.86,0.05,0.010226,0.000156747239113475,0.574468804948854,0.0302201770217183,0.000649137255124662,100,1,16.018
"45",45,0.001,FALSE,0,0.88,0.05,0.010261,0.000153672221026285,0.575105446401977,0.033802607414352,0.000660955808908227,100,1,15.766
"46",46,0.001,FALSE,0,0.9,0.05,0.010239,0.000156279340679542,0.574119653329612,0.028101871043113,0.000654903183089765,100,1,15.808
"47",47,0.001,FALSE,0,0.92,0.05,0.010231,0.000142626870688606,0.577012819331212,0.0314145177128121,0.000659716041506306,100,1,15.746
"48",48,0.001,FALSE,0,0.94,0.05,0.010253,0.000148020610085559,0.579865399560261,0.0259863007421151,0.000690448019094378,100,1,15.032
"49",49,0.001,FALSE,0,0.96,0.05,0.010254,0.000179460470873284,0.574522765659046,0.0319529930582877,0.000692930078850614,100,1,15.028
"50",50,0.001,FALSE,0,0.98,0.05,0.010251,0.000162986645049975,0.572411287572456,0.0335654012453035,0.000716136372384955,100,1,14.454
"51",51,0.001,FALSE,0,1,0.05,0.010259,0.00014570968784303,0.575575329295005,0.0318325236724028,0.000722180222797737,100,1,14.396
"52",52,0.001,FALSE,0.01,0,0.05,NA,NA,NA,NA,0,0,0,47.872
"53",53,0.001,FALSE,0.01,0.02,0.05,NA,NA,NA,NA,4.99001996007984e-08,0,0,56.09
"54",54,0.001,FALSE,0.01,0.04,0.05,NA,NA,NA,NA,1.39720558882236e-07,0,0,60.412
"55",55,0.001,FALSE,0.01,0.06,0.05,NA,NA,NA,NA,5.08982035928144e-07,0,0,72.808
"56",56,0.001,FALSE,0.01,0.08,0.05,NA,NA,NA,NA,1.11776447105788e-06,0,0,79.874
"57",57,0.001,FALSE,0.01,0.1,0.05,NA,NA,NA,NA,2.31536926147705e-06,0,0,88.18
"58",58,0.001,FALSE,0.01,0.12,0.05,NA,NA,NA,NA,4.3313373253493e-06,0,0,90.434
"59",59,0.001,FALSE,0.01,0.14,0.05,NA,NA,NA,NA,9.9500998003992e-06,0,0,93.792
"60",60,0.001,FALSE,0.01,0.16,0.05,NA,NA,NA,NA,1.57185628742515e-05,0,0,98.4
"61",61,0.001,FALSE,0.01,0.18,0.05,NA,NA,NA,NA,2.91417165668663e-05,0,0,98.388
"62",62,0.001,FALSE,0.01,0.2,0.05,0.0101333333333333,5.77350269189632e-05,0.463890506697729,0.0356260020456092,4.39139772030737e-05,3,0.03,99.192
"63",63,0.001,FALSE,0.01,0.22,0.05,0.0101352941176471,7.01888209634222e-05,0.495324135161526,0.0485038994202776,6.79832605424998e-05,17,0.17,97.626
"64",64,0.001,FALSE,0.01,0.24,0.05,0.0101528301886792,0.000108492774635183,0.494271275820305,0.0408920979429443,0.000100358338761634,53,0.53,90.552
"65",65,0.001,FALSE,0.01,0.26,0.05,0.0101670588235294,9.56036402152606e-05,0.514350512311262,0.037713137962795,0.000128669147625388,85,0.85,77.658
