"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"1",1,0,0.1,0,0.05,9,500,0,0.847336468589492,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,0,0.1,0.02,0.05,9,500,0,0.84091943037541,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,0,0.1,0.04,0.05,9,500,0,0.876684079800422,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,0,0.1,0.06,0.05,9,500,0,0.841967491733117,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,0,0.1,0.08,0.05,9,500,0,0.851196936603325,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,0,0.1,0.1,0.05,9,500,0,0.850383870365719,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,0,0.1,0.12,0.05,9,500,0,0.84788238644186,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,0,0.1,0.14,0.05,9,500,0,0.864255047488647,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,0,0.1,0.16,0.05,9,500,0,0.856056792467522,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,0,0.1,0.18,0.05,9,500,0,0.853434620016358,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,0,0.1,0.2,0.05,9,500,0,0.848624265137025,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,0,0.1,0.22,0.05,9,500,0,0.850659260898828,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,0,0.1,0.24,0.05,9,500,0,0.857748935876104,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
