"","ID","starting","g","b","m0","rho_plus","rho_plus_sd","q_plus_plus","q_plus_plus_sd","growth","n_recover","prob_recover","runtime"
"1",1,0.001,0.1,0,0.05,NA,NA,NA,NA,0,0,0,19.836
"2",2,0.001,0.1,0.02,0.05,NA,NA,NA,NA,0,0,0,19.97
"3",3,0.001,0.1,0.04,0.05,NA,NA,NA,NA,0,0,0,22.41
"4",4,0.001,0.1,0.06,0.05,NA,NA,NA,NA,0,0,0,21.178
"5",5,0.001,0.1,0.08,0.05,NA,NA,NA,NA,0,0,0,24.276
"6",6,0.001,0.1,0.1,0.05,NA,NA,NA,NA,0,0,0,25.236
"7",7,0.001,0.1,0.12,0.05,NA,NA,NA,NA,0,0,0,27.348
"8",8,0.001,0.1,0.14,0.05,NA,NA,NA,NA,0,0,0,27.488
"9",9,0.001,0.1,0.16,0.05,NA,NA,NA,NA,0,0,0,30.018
"10",10,0.001,0.1,0.18,0.05,NA,NA,NA,NA,0,0,0,32.28
"11",11,0.001,0.1,0.2,0.05,NA,NA,NA,NA,0,0,0,35.19
"12",12,0.001,0.1,0.22,0.05,NA,NA,NA,NA,0,0,0,35.684
"13",13,0.001,0.1,0.24,0.05,NA,NA,NA,NA,0,0,0,38.68
"14",14,0.001,0.1,0.26,0.05,NA,NA,NA,NA,0,0,0,49.94
"15",15,0.001,0.1,0.28,0.05,NA,NA,NA,NA,0,0,0,57.94
"16",16,0.001,0.1,0.3,0.05,NA,NA,NA,NA,0,0,0,65.13
"17",17,0.001,0.1,0.32,0.05,NA,NA,NA,NA,0,0,0,74.786
"18",18,0.001,0.1,0.34,0.05,NA,NA,NA,NA,0,0,0,98.848
"19",19,0.001,0.1,0.36,0.05,NA,NA,NA,NA,0,0,0,110.612
"20",20,0.001,0.1,0.38,0.05,NA,NA,NA,NA,0,0,0,169.398
"21",21,0.001,0.1,0.4,0.05,0.01025,0.000151657508881031,0.45622893426652,0.043529792186272,1.2967058296932e-06,6,0.06,261.66
"22",22,0.001,0.1,0.42,0.05,0.0101853658536585,0.000137041919881758,0.441609117503006,0.0317564224608017,1.08432587055706e-05,41,0.41,313.066
"23",23,0.001,0.1,0.44,0.05,0.0102044117647059,0.000111212883836216,0.461065717257809,0.0459810326614113,3.25974585890969e-05,68,0.68,221.66
"24",24,0.001,0.1,0.46,0.05,0.010195,0.000114626526189749,0.467293559434399,0.0350289901473316,5.14035384266075e-05,80,0.8,158.348
"25",25,0.001,0.1,0.48,0.05,0.0101880952380952,0.000102269148682444,0.47305409690437,0.0402752211852363,6.16783478131083e-05,84,0.84,137.168
"26",26,0.001,0.1,0.5,0.05,0.0102241379310345,0.000158455860805388,0.480305313476405,0.0385428374357502,7.64759888398719e-05,87,0.87,118.066
"27",27,0.001,0.1,0.52,0.05,0.0101905263157895,0.000105259238448867,0.485953786712624,0.0400050886478953,0.000103898138099198,95,0.95,98.964
"28",28,0.001,0.1,0.54,0.05,0.0102010101010101,0.000138132552056873,0.492588278594782,0.036036668583633,0.000120843809118758,99,0.99,91.88
"29",29,0.001,0.1,0.56,0.05,0.0102135416666667,0.000127831955206552,0.499024658769225,0.0416490923236232,0.000129093287997417,96,0.96,79.956
"30",30,0.001,0.1,0.58,0.05,0.0102073684210526,0.000124833595845573,0.512447696985376,0.0450566846675573,0.000143609935835268,95,0.95,71.494
"31",31,0.001,0.1,0.6,0.05,0.0102309278350515,0.000129390256541876,0.512734584888831,0.0357420733259033,0.000157829576237628,97,0.97,67.62
"32",32,0.001,0.1,0.62,0.05,0.010215306122449,0.000124645510392867,0.513968469747054,0.0454035486325372,0.000182896613766962,98,0.98,57.302
"33",33,0.001,0.1,0.64,0.05,0.0102181818181818,0.000141683490579471,0.521641504799163,0.0415449539507146,0.000179555820811011,99,0.99,59.456
"34",34,0.001,0.1,0.66,0.05,0.0102102040816327,0.000134309840216735,0.518902203893512,0.0434934919452909,0.000214710993290048,98,0.98,49.1
"35",35,0.001,0.1,0.68,0.05,0.010252,0.000150742271189047,0.523950480513272,0.0404674043674676,0.000219435874617123,100,1,50.824
"36",36,0.001,0.1,0.7,0.05,0.0102060606060606,0.000142010478068562,0.525081721295026,0.0446261921815772,0.000240845772145725,99,0.99,44.596
"37",37,0.001,0.1,0.72,0.05,0.01024,0.000160176670138212,0.51887726148971,0.0349210250020879,0.000261335056903474,100,1,41.476
"38",38,0.001,0.1,0.74,0.05,0.010224,0.000164605435800126,0.528693244616108,0.0321278970517112,0.000274223723518989,100,1,39.328
"39",39,0.001,0.1,0.76,0.05,0.010234,0.000140144225854667,0.540816033451753,0.0470337795891565,0.000270507245653037,100,1,40.898
"40",40,0.001,0.1,0.78,0.05,0.0102525252525253,0.000176324974988748,0.531452131821829,0.0386830686079148,0.000303835694422561,99,0.99,35.222
"41",41,0.001,0.1,0.8,0.05,0.010229,0.000137286105442156,0.541553896771316,0.0391223374285005,0.000300307314016368,100,1,35.522
"42",42,0.001,0.1,0.82,0.05,0.010237,0.00013,0.54456136588761,0.0437091871548722,0.000319417845236997,100,1,33.816
"43",43,0.001,0.1,0.84,0.05,0.010227,0.000156898603298983,0.546294721250746,0.0407069281619164,0.000336078114930855,100,1,32.028
"44",44,0.001,0.1,0.86,0.05,0.010249,0.000176093983171178,0.549470309424146,0.0359930914406595,0.00034362336903996,100,1,30.824
"45",45,0.001,0.1,0.88,0.05,0.010239,0.000163234354672828,0.544269497849278,0.0373393499977921,0.000340737997312617,100,1,31.244
"46",46,0.001,0.1,0.9,0.05,0.010261,0.000158206488265472,0.547650731998818,0.0454537631518202,0.000373945040854183,100,1,28.538
"47",47,0.001,0.1,0.92,0.05,0.010266,0.000159684031446447,0.544303609167699,0.0391952065253863,0.000394182743836761,100,1,26.986
"48",48,0.001,0.1,0.94,0.05,0.010242,0.000167681757258122,0.551521642731547,0.0366913577762154,0.000396318888768691,100,1,26.858
"49",49,0.001,0.1,0.96,0.05,0.010265,0.000157874134753741,0.546647105429089,0.0455122523302811,0.000407805396730688,100,1,26.178
"50",50,0.001,0.1,0.98,0.05,0.010219,0.000126885775404495,0.557268076336417,0.0420752012961614,0.000427031561923713,100,1,24.844
"51",51,0.001,0.1,1,0.05,0.010244,0.000150635019470604,0.549337396574142,0.0408750652862898,0.000435356091259783,100,1,24.314
"52",52,0.001,0.4,0,0.05,NA,NA,NA,NA,0,0,0,6.432
"53",53,0.001,0.4,0.02,0.05,NA,NA,NA,NA,0,0,0,6.864
"54",54,0.001,0.4,0.04,0.05,NA,NA,NA,NA,0,0,0,6.606
"55",55,0.001,0.4,0.06,0.05,NA,NA,NA,NA,0,0,0,6.826
"56",56,0.001,0.4,0.08,0.05,NA,NA,NA,NA,0,0,0,6.608
"57",57,0.001,0.4,0.1,0.05,NA,NA,NA,NA,0,0,0,6.946
"58",58,0.001,0.4,0.12,0.05,NA,NA,NA,NA,0,0,0,6.76
"59",59,0.001,0.4,0.14,0.05,NA,NA,NA,NA,0,0,0,7.426
"60",60,0.001,0.4,0.16,0.05,NA,NA,NA,NA,0,0,0,7.382
"61",61,0.001,0.4,0.18,0.05,NA,NA,NA,NA,0,0,0,7.39
"62",62,0.001,0.4,0.2,0.05,NA,NA,NA,NA,0,0,0,7.194
